,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
10,81983.05123200001,323.085225330146,-9.934020224479143,459.90929555996894,398.7199695889653,5367.1082203209135,6.0,16.17040014883646,163.0
11,1443.430348,42.86994983837091,84.2152608155596,73.21804260645503,25.61943210645627,203.5376664329602,36.0,72.9078966157361,186.0
12,2568.8237080000004,57.19027826894019,-9.242660839990704,116.07678886488623,29.11843970921307,321.3522878201708,32.0,63.53847388269277,175.0
13,2094.7569080000003,51.64423812849559,31.084389545602424,83.59041470702729,33.08145746870699,240.23147935981194,37.0,74.04024402243432,189.0
14,1947.383968,49.79444022017795,87.08198637403392,72.22409049207052,34.699904359404094,202.51950756100803,37.0,82.32969940728196,190.0
15,1884.5185880000001,48.98411568080077,22.111634777288295,68.55984937816828,35.4240039852626,209.17648727137964,25.0,68.97145357103796,189.0
16,2054.7704040000003,51.14894851044591,-5.338275444847638,90.77405440701939,29.585780866856215,233.06656670735575,33.0,63.4629350988063,190.0
17,2564.495272,57.14207550130427,36.54213670869722,109.41290314782735,32.10024492695256,294.23351821653125,25.0,66.4156887960135,181.0
18,4585.6687680000005,76.41109091273711,86.63168522243926,92.58115714019385,67.31335962198688,345.18890920738136,37.0,78.63969795037757,191.0
19,2147.5226040000002,52.29063685427278,-81.64973365570748,94.5878674327519,29.803489742705047,263.5518641616317,33.0,66.76782800652654,170.0
20,3130.077576,63.12953783968312,15.506572984225835,119.8405856652038,34.873467992825056,319.25974414639893,23.0,72.60996970894244,217.0
21,2862.539008,60.37133312535483,15.588048854836249,113.16789223133942,33.27437274257417,322.1339965549252,23.0,74.49891993087557,207.0
22,1072.2154320000002,36.94843824165909,-82.64484672634067,44.69581206195523,31.471383050185185,156.58484559454072,27.0,82.96770472895041,222.0
23,2063.4272760000003,51.25658206989964,-52.96085598597572,86.21953609289145,31.451932715757653,243.7399559756684,33.0,73.34801718110079,191.0
24,2627.566768,57.84048681891918,-57.563515727855716,105.06339146072615,32.59186969722064,281.06751821653125,30.0,72.18449952933794,195.0
25,2454.429328,55.902383492721945,-62.197424807265044,101.38421213618953,31.742378328864586,272.21843259152485,33.0,67.97850184749748,185.0
